ts_code,adj_factor
689009.SH,1.0
000001.SZ,111.048
000002.SZ,153.901
000004.SZ,4.064
000005.SZ,9.268
000006.SZ,36.507
000007.SZ,8.284
000008.SZ,22.408
000009.SZ,8.881
000010.SZ,10.775
000011.SZ,3.752
000012.SZ,26.778
000014.SZ,5.427
000016.SZ,21.823
000017.SZ,2.683
000019.SZ,4.211
000020.SZ,1.752
000021.SZ,14.039
000023.SZ,2.668
000025.SZ,2.737
000026.SZ,7.744
000027.SZ,16.398
000028.SZ,3.993
000029.SZ,2.235
000030.SZ,3.408
000031.SZ,14.651
000032.SZ,4.164
000034.SZ,3.042
000035.SZ,4.612
000036.SZ,11.912
000037.SZ,5.669
000038.SZ,2.924
000039.SZ,30.845
000040.SZ,4.349
000042.SZ,13.353
000045.SZ,2.928
000046.SZ,34.006
000048.SZ,6.259
000049.SZ,5.495
000050.SZ,8.373
000055.SZ,9.782
000056.SZ,4.708
000058.SZ,3.274
000059.SZ,1.7
000060.SZ,37.807
000061.SZ,21.476
000062.SZ,7.36
000063.SZ,15.87
000065.SZ,15.328
000066.SZ,10.878
000068.SZ,2.28
000069.SZ,42.485
000070.SZ,3.484
000078.SZ,20.484
000088.SZ,8.016
000089.SZ,7.088
000090.SZ,7.485
000096.SZ,2.654
000099.SZ,3.803
000100.SZ,3.167
000150.SZ,3.943
000151.SZ,2.759
000153.SZ,5.652
000155.SZ,1.568
000156.SZ,1.081
000157.SZ,72.925
000158.SZ,2.952
000159.SZ,3.204
000166.SZ,1.449
000333.SZ,4.635
000338.SZ,19.775
000400.SZ,7.672
000401.SZ,4.047
000402.SZ,37.155
000403.SZ,7.581
000404.SZ,3.336
000407.SZ,10.983
000408.SZ,5.675
000409.SZ,2.15
000410.SZ,2.889
000411.SZ,2.577
000413.SZ,4.593
000415.SZ,20.919
000416.SZ,9.637
000417.SZ,17.435
000419.SZ,14.48
000420.SZ,6.352
000421.SZ,6.91
000422.SZ,14.787
000423.SZ,10.127
000425.SZ,38.418
000426.SZ,16.932
000428.SZ,12.139
000429.SZ,3.764
000430.SZ,4.612
000488.SZ,9.545
000498.SZ,2.803
000501.SZ,6.689
000502.SZ,3.113
000503.SZ,7.615
000504.SZ,2.103
000505.SZ,3.312
000506.SZ,2.872
000507.SZ,4.562
000509.SZ,9.746
000510.SZ,10.422
000513.SZ,8.409
000514.SZ,4.35
000516.SZ,39.872
000517.SZ,13.406
000518.SZ,8.377
000519.SZ,7.937
000520.SZ,6.855
000521.SZ,5.219
000523.SZ,6.687
000524.SZ,4.927
000525.SZ,7.524
000526.SZ,2.471
000528.SZ,11.717
000529.SZ,3.164
000530.SZ,9.853
000531.SZ,12.369
000532.SZ,4.419
000533.SZ,2.258
000534.SZ,4.172
000536.SZ,3.673
000537.SZ,6.204
000538.SZ,18.24
000539.SZ,18.168
000540.SZ,80.895
000541.SZ,29.887
000543.SZ,4.617
000544.SZ,3.51
000545.SZ,4.283
000546.SZ,1.828
000547.SZ,10.604
000548.SZ,3.535
000550.SZ,3.117
000551.SZ,7.726
000552.SZ,6.864
000553.SZ,4.187
000554.SZ,4.896
000555.SZ,3.142
000557.SZ,7.328
000558.SZ,5.957
000559.SZ,34.042
000560.SZ,5.272
000561.SZ,2.52
000563.SZ,17.341
000564.SZ,3.02
000565.SZ,7.571
000566.SZ,9.514
000567.SZ,4.748
000568.SZ,32.768
000570.SZ,4.498
000571.SZ,7.613
000572.SZ,4.656
000573.SZ,7.658
000576.SZ,6.187
000581.SZ,5.042
000582.SZ,4.877
000584.SZ,4.844
000585.SZ,1.277
000586.SZ,3.698
000587.SZ,12.655
000589.SZ,5.011
000590.SZ,4.764
000591.SZ,13.58
000592.SZ,6.375
000593.SZ,5.6
000595.SZ,4.958
000596.SZ,3.414
000597.SZ,4.791
000598.SZ,25.168
000599.SZ,4.878
000600.SZ,6.971
000601.SZ,10.257
000603.SZ,4.269
000605.SZ,3.556
000606.SZ,6.443
000607.SZ,3.762
000608.SZ,11.125
000609.SZ,6.029
000610.SZ,3.013
000611.SZ,4.596
000612.SZ,9.769
000615.SZ,9.093
000616.SZ,28.319
000617.SZ,7.056
000619.SZ,9.252
000620.SZ,1.648
000622.SZ,2.525
000623.SZ,21.129
000625.SZ,7.803
000626.SZ,10.678
000627.SZ,27.882
000628.SZ,3.123
000629.SZ,7.789
000630.SZ,26.826
000631.SZ,17.911
000632.SZ,7.527
000633.SZ,7.479
000635.SZ,4.158
000636.SZ,17.34
000637.SZ,17.116
000638.SZ,4.42
000639.SZ,10.907
000650.SZ,21.592
000651.SZ,161.467
000652.SZ,27.447
000655.SZ,5.716
000656.SZ,6.847
000657.SZ,4.24
000659.SZ,16.527
000661.SZ,7.433
000663.SZ,4.049
000665.SZ,5.766
000666.SZ,1.598
000667.SZ,25.348
000668.SZ,3.672
000669.SZ,3.651
000671.SZ,32.241
000672.SZ,6.011
000673.SZ,11.508
000676.SZ,10.804
000677.SZ,18.3
000678.SZ,4.96
000679.SZ,5.763
000680.SZ,5.447
000681.SZ,5.039
000682.SZ,15.75
000683.SZ,7.556
000685.SZ,14.609
000686.SZ,13.034
000687.SZ,3.319
000688.SZ,4.947
000690.SZ,44.57
000691.SZ,3.055
000692.SZ,12.19
000695.SZ,2.55
000697.SZ,3.675
000698.SZ,3.031
000700.SZ,15.894
000701.SZ,1.726
000702.SZ,2.553
000703.SZ,9.268
000705.SZ,5.417
000707.SZ,3.038
000708.SZ,3.701
000709.SZ,10.128
000710.SZ,3.497
000711.SZ,9.759
000712.SZ,13.151
000713.SZ,4.457
000715.SZ,4.988
000716.SZ,3.783
000717.SZ,4.673
000718.SZ,8.043
000719.SZ,4.49
000720.SZ,7.26
000721.SZ,4.69
000722.SZ,3.915
000723.SZ,6.703
000725.SZ,4.88
000726.SZ,8.035
000727.SZ,5.635
000728.SZ,2.622
000729.SZ,8.108
000731.SZ,11.309
000732.SZ,4.427
000733.SZ,2.201
000735.SZ,5.84
000736.SZ,2.991
000737.SZ,3.636
000738.SZ,1.798
000739.SZ,12.279
000750.SZ,12.577
000751.SZ,3.371
