date,close,high,low,open,preclose,pctChg,volume,amount
1990-12-19,99.98,99.98,95.79,96.05,0.0,0.0,1260,494000.0
1990-12-20,104.39,104.39,99.98,104.3,0.0,0.0,19700,84992.0
1990-12-21,109.13,109.13,103.73,109.07,104.39,4.5406629999999994,2800,16096.0
1990-12-24,114.55,114.55,109.13,113.57,109.13,4.966558999999998,3200,31063.0
1990-12-25,120.25,120.25,114.55,120.09,114.55,4.97599,1500,6510.0
1990-12-26,125.27,125.27,120.25,125.27,120.25,4.174633999999998,10000,53730.0
1990-12-27,125.28,125.28,125.27,125.27,125.27,0.007984,6600,104644.0
1990-12-28,126.45,126.45,125.28,126.39,125.28,0.9339069999999999,10800,88031.0
1990-12-31,127.61,127.61,126.48,126.56,126.45,0.9173620000000001,7800,60030.0
1991-01-02,128.84,128.84,127.61,127.61,127.61,0.9638709999999999,9100,59098.0
1991-01-03,130.14,130.14,128.84,128.84,128.84,1.0090059999999998,14100,93918.0
1991-01-04,131.44,131.44,130.14,131.27,130.14,0.998927,42000,261904.0
1991-01-07,132.06,132.06,131.45,131.99,131.44,0.47169399999999995,21700,141737.0
1991-01-08,132.68,132.68,132.06,132.62,132.06,0.46948,292600,1806867.0
1991-01-09,133.34,133.34,132.68,133.3,132.68,0.49743999999999994,560300,3228719.0
1991-01-10,133.97,133.97,133.34,133.93,133.34,0.47248,999000,5399457.0
1991-01-11,134.6,134.61,134.51,134.61,133.97,0.470258,1332700,7115732.0
1991-01-14,134.67,135.19,134.11,134.11,134.6,0.052000000000000005,1253000,6883604.0
1991-01-15,134.74,134.74,134.19,134.21,134.67,0.051984,144600,1010364.0
1991-01-16,134.24,134.74,134.14,134.19,134.74,-0.371085,50900,270133.0
1991-01-17,134.25,134.25,133.65,133.67,134.24,0.007445,65800,334238.0
1991-01-18,134.24,134.25,133.67,133.7,134.25,-0.007445,300400,1570833.0
1991-01-21,134.24,134.24,133.66,133.7,134.24,0.0,205100,1029305.0
1991-01-22,133.72,134.24,133.66,133.72,134.24,-0.387369,35400,180787.0
1991-01-23,133.17,133.72,133.14,133.17,133.72,-0.41130900000000004,109500,575928.0
1991-01-24,132.61,133.17,132.57,132.61,133.17,-0.420513,185700,917392.0
1991-01-25,132.05,132.07,132.03,132.05,132.61,-0.422289,344700,1722246.0
1991-01-28,131.46,131.55,131.46,131.46,132.05,-0.446798,510700,2565573.0
1991-01-29,130.95,130.97,130.95,130.95,131.46,-0.38795799999999997,138700,710741.0
1991-01-30,130.44,130.95,130.41,130.44,130.95,-0.389457,52700,260701.0
1991-01-31,129.97,130.46,129.93,129.93,130.44,-0.36032,51000,244662.0
1991-02-01,129.51,129.97,129.45,129.5,129.97,-0.353933,34500,140871.0
1991-02-04,129.05,129.58,129.05,129.05,129.51,-0.355178,55300,273652.0
1991-02-05,128.58,128.58,128.53,128.56,129.05,-0.364201,856200,4250084.0
1991-02-06,129.14,129.15,128.06,129.13,128.58,0.435525,664100,3847268.0
1991-02-07,129.79,129.79,129.14,129.74,129.14,0.503325,213300,1504814.0
1991-02-08,130.38,130.39,129.79,130.36,129.79,0.454589,123400,879868.0
1991-02-11,130.97,130.97,130.39,130.92,130.38,0.45252,931700,4834876.0
1991-02-12,131.35,131.56,130.97,131.54,130.97,0.290146,377400,1986983.0
1991-02-13,131.92,131.93,131.35,131.93,131.35,0.433949,115200,673738.0
1991-02-14,132.53,132.53,132.3,132.53,131.92,0.46240200000000004,362400,1883072.0
1991-02-19,133.13,133.14,133.08,133.12,132.53,0.45273199999999997,174800,1216176.0
1991-02-20,133.67,133.67,133.13,133.63,133.13,0.405614,87600,520724.0
1991-02-21,134.28,134.28,133.67,134.24,133.67,0.456348,322000,1771726.0
1991-02-22,134.87,134.87,134.28,134.85,134.28,0.439378,342700,2003776.0
1991-02-25,134.4,134.87,134.33,134.37,134.87,-0.348485,81000,621015.0
1991-02-26,133.93,134.44,133.9,133.9,134.4,-0.34970300000000004,109400,2545711.0
1991-02-27,133.47,133.98,133.44,133.44,133.93,-0.343457,21400,141958.0
1991-02-28,133.01,133.52,132.98,132.99,133.47,-0.344652,225800,1187974.0
1991-03-01,132.53,132.53,132.47,132.53,133.01,-0.36087199999999997,712400,3777320.0
1991-03-04,131.99,132.09,131.98,132.09,132.53,-0.40745,251800,1418017.0
1991-03-05,131.46,131.99,131.41,131.42,131.99,-0.401545,98200,934706.0
1991-03-06,130.94,130.95,130.89,130.89,131.46,-0.395561,71900,1345390.0
1991-03-07,130.41,130.94,130.41,130.41,130.94,-0.404765,56800,427475.0
1991-03-08,129.89,130.41,129.84,129.84,130.41,-0.398746,93300,541770.0
1991-03-11,129.31,129.89,129.3,129.3,129.89,-0.446533,51400,299524.0
1991-03-12,128.77,129.31,128.73,128.73,129.31,-0.417596,95700,783099.0
1991-03-13,126.15,128.77,126.13,126.13,128.77,-2.034637,49800,418280.0
1991-03-14,125.63,126.15,125.61,125.61,126.15,-0.412211,32600,242557.0
1991-03-15,125.17,125.62,125.08,125.08,125.63,-0.366154,79000,403520.0
1991-03-18,124.71,125.17,124.69,124.7,125.17,-0.36749899999999996,125000,1210411.0
1991-03-19,124.22,124.71,124.22,124.23,124.71,-0.39291,89200,682933.0
1991-03-20,123.66,124.21,123.63,123.66,124.22,-0.45081099999999996,67800,433147.0
1991-03-21,123.12,123.66,123.12,123.14,123.66,-0.43668199999999996,15100,131064.0
1991-03-22,122.62,123.12,122.62,122.62,123.12,-0.40610799999999997,20700,120129.0
1991-03-25,122.12,122.62,122.1,122.12,122.62,-0.40776399999999996,44300,324176.0
1991-03-26,121.62,122.14,121.62,121.62,122.12,-0.409433,116400,709040.0
1991-03-27,121.12,121.64,121.12,121.12,121.62,-0.411117,66800,366005.0
1991-03-28,120.61,121.15,120.61,120.65,121.12,-0.421072,96100,505657.0
1991-03-29,120.19,120.61,120.11,120.16,120.61,-0.34822800000000004,218500,2186180.0
1991-04-01,120.73,120.73,119.68,120.69,120.19,0.4492890000000001,1199900,5666672.0
1991-04-02,121.21,121.29,120.73,121.21,120.73,0.39757800000000004,81600,387611.0
1991-04-03,121.71,121.71,121.21,121.71,121.21,0.41250699999999996,206300,977171.0
1991-04-04,121.72,122.2,121.24,122.2,121.71,0.008218000000000001,1051700,5045893.0
1991-04-05,121.54,121.73,121.03,121.07,121.72,-0.14788099999999998,1158900,6035557.0
1991-04-08,121.09,121.11,121.05,121.11,121.54,-0.370252,186200,1675834.0
1991-04-09,120.62,121.1,120.6,120.6,121.09,-0.38813600000000004,32000,297122.0
1991-04-10,120.16,120.62,120.09,120.15,120.62,-0.381362,46600,281235.0
1991-04-11,119.64,120.16,119.62,119.64,120.16,-0.43276000000000003,23900,576817.0
1991-04-12,119.21,119.65,119.15,119.2,119.64,-0.359412,39900,301333.0
1991-04-15,118.77,119.22,118.72,118.73,119.21,-0.36909899999999995,30100,386981.0
1991-04-16,118.34,118.77,118.34,118.36,118.77,-0.36204400000000003,10500,177216.0
1991-04-17,117.9,118.34,117.89,117.92,118.34,-0.37180599999999997,20100,259495.0
1991-04-18,117.45,117.93,117.45,117.45,117.9,-0.381683,17800,133927.0
1991-04-19,117.08,117.5,117.05,117.08,117.45,-0.31502399999999997,64600,424675.0
1991-04-22,116.63,117.08,116.58,116.63,117.08,-0.384356,43000,321322.0
1991-04-23,116.19,116.63,116.15,116.21,116.63,-0.377257,28200,264379.0
1991-04-24,115.79,116.19,115.7,115.7,116.19,-0.344265,14800,121786.0
1991-04-25,115.36,115.79,115.33,115.38,115.79,-0.37136199999999997,149500,998928.0
1991-04-26,115.56,116.31,114.52,116.31,115.36,0.173368,1335400,5806770.0
1991-04-29,114.75,116.29,114.75,114.86,115.56,-0.700932,841100,3610730.0
1991-04-30,113.94,114.87,113.89,113.89,114.75,-0.7058800000000001,485000,2734172.0
1991-05-02,113.16,113.2,113.03,113.04,113.94,-0.68457,146500,1124048.0
1991-05-03,112.41,113.17,112.3,112.46,113.16,-0.662778,423000,2386862.0
1991-05-06,111.61,112.41,111.57,111.65,112.41,-0.711683,276400,1423590.0
1991-05-07,110.82,110.9,110.8,110.8,111.61,-0.707823,187500,907005.0
1991-05-08,110.03,110.82,110.0,110.16,110.82,-0.712869,42300,375190.0
1991-05-09,109.29,110.12,109.31,109.36,110.03,-0.672542,225500,1215566.0
1991-05-10,108.53,109.4,108.53,108.61,109.29,-0.695399,24900,313181.0
1991-05-13,107.84,107.88,107.74,107.88,108.53,-0.635771,23500,182296.0
1991-05-14,107.19,107.84,107.06,107.21,107.84,-0.602739,26700,185380.0
1991-05-15,106.57,106.6,106.42,106.56,107.19,-0.578415,39000,307736.0
1991-05-16,105.77,105.86,105.69,105.83,106.57,-0.750683,310800,1445855.0
