ts_code,name,result_2019
000004.SZ,国华网安,-0.027108433734939773
000005.SZ,世纪星源,-0.1854545454545454
000007.SZ,全新好,-0.5075
000008.SZ,神州高铁,-0.42111653620605016
000014.SZ,沙河股份,-0.19128765758203228
000017.SZ,*ST中华A,-0.4334763948497854
000020.SZ,深华发A,-0.15284249767008387
000025.SZ,特力A,-0.2218359599019754
000031.SZ,大悦城,-0.24307502386047541
000035.SZ,中国天楹,-0.2446043165467625
000038.SZ,深大通,-0.10588235294117652
000040.SZ,东旭蓝天,-0.6321762772702455
000042.SZ,中洲控股,-0.20064891528183523
000046.SZ,泛海控股,-0.427528056340104
000056.SZ,皇庭国际,-0.3370649477125699
000058.SZ,深赛格,-0.012026916273106633
000068.SZ,华控赛格,-0.34803921568627444
000070.SZ,特发信息,-0.10876282493673799
000150.SZ,宜华健康,-0.6554884733299353
000151.SZ,中成股份,-0.30635792407607454
000409.SZ,山东地矿,-0.18772563176895313
000410.SZ,*ST沈机,-0.4022801302931595
000413.SZ,东旭光电,-0.5789151074716561
000415.SZ,渤海租赁,-0.4432432432432432
000423.SZ,东阿阿胶,-0.08897516630761575
000429.SZ,粤高速A,-0.009317827461414184
000498.SZ,山东路桥,-0.01724108107532731
000502.SZ,绿景控股,-0.2631578947368421
000503.SZ,国新健康,-0.46738442051931595
000506.SZ,中润资源,-0.2787456445993032
000507.SZ,珠海港,-0.11153144813069335
000509.SZ,*ST华塑,-0.09698996655518399
000514.SZ,渝开发,-0.09612860892388474
000523.SZ,广州浪奇,-0.34816082218809413
000525.SZ,红太阳,-0.6525672838327925
000533.SZ,顺钠股份,-0.08902077151335316
000537.SZ,广宇发展,-0.22905387295631197
000539.SZ,粤电力A,-0.13910661658480217
000540.SZ,中天金融,-0.253411965264305
000543.SZ,皖能电力,-0.1488111535807769
000546.SZ,金圆股份,-0.2012084905538051
000548.SZ,湖南投资,-0.11705880109823047
000553.SZ,安道麦A,-0.02666811957429778
000554.SZ,泰山石油,-0.11428571428571427
000560.SZ,我爱我家,-0.14293146052802708
000561.SZ,烽火电子,-0.022556390977443823
000564.SZ,*ST大集,-0.13533834586466179
000571.SZ,*ST大洲,-0.36390532544378706
000573.SZ,粤宏远A,-0.030425345332645043
000585.SZ,*ST东电,-0.26086956521739124
000586.SZ,汇源通信,-0.2882703777335985
000587.SZ,*ST金洲,-0.409252669039146
000592.SZ,平潭发展,-0.22253521126760561
000593.SZ,大通燃气,-0.2945619335347432
000595.SZ,*ST宝实,-0.24999999999999997
000605.SZ,渤海股份,-0.3826398868458275
000606.SZ,顺利办,-0.5286195286195287
000607.SZ,华媒控股,-0.10633488984299089
000608.SZ,阳光股份,-0.35447761194029853
000609.SZ,中迪投资,-0.3589743589743591
000611.SZ,ST天首,-0.5636070853462158
000617.SZ,中油资本,-0.15415293665036192
000620.SZ,新华联,-0.3683715012722645
000622.SZ,恒立实业,-0.5
000627.SZ,天茂集团,-0.2951457167201028
000628.SZ,高新发展,-0.08624229979466118
000629.SZ,攀钢钒钛,-0.26898734177215194
000632.SZ,三木集团,-0.15061728395061721
000638.SZ,万方发展,-0.07733812949640291
000663.SZ,*ST永林,-0.11601307189542488
000665.SZ,湖北广电,-0.26196906358437283
000666.SZ,经纬纺机,-0.27640909448186524
000667.SZ,美好置业,-0.2749003984063745
000669.SZ,*ST金鸿,-0.6289517470881864
000673.SZ,*ST当代,-0.569937369519833
000676.SZ,智度股份,-0.16065406757230635
000678.SZ,襄阳轴承,-0.07722007722007715
000679.SZ,大连友谊,-0.05693069306930687
000681.SZ,视觉中国,-0.4248393070398252
000687.SZ,*ST华讯,-0.7752043596730245
000688.SZ,国城矿业,-0.22482638888888892
000690.SZ,宝新能源,-0.04600743213359306
000695.SZ,滨海能源,-0.43454935622317603
000697.SZ,炼石航空,-0.4184738955823293
000701.SZ,厦门信达,-0.24829344167150313
000702.SZ,正虹科技,-0.09174311926605508
000707.SZ,ST双环,-0.10367892976588623
000709.SZ,河钢股份,-0.06921270295108745
000710.SZ,贝瑞基因,-0.029233870967742045
000711.SZ,京蓝科技,-0.6252045826513912
000719.SZ,中原传媒,-0.009210917398966702
000726.SZ,鲁泰A,-0.3248610679740884
000732.SZ,泰禾集团,-0.6190292862772097
000735.SZ,罗牛山,-0.2598110866030877
000750.SZ,国海证券,-0.12633474398829417
000752.SZ,*ST西发,-0.39167862266857956
000753.SZ,漳州发展,-0.15560790548108527
000755.SZ,山西路桥,-0.2905982905982907
000757.SZ,浩物股份,-0.2316831683168317
000766.SZ,通化金马,-0.36443148688046645
000782.SZ,美达股份,-0.23037571419400424
000793.SZ,华闻集团,-0.21864951768488744
000797.SZ,中国武夷,-0.21800094216753976
000802.SZ,北京文化,-0.5100460108125007
000803.SZ,北清环能,-0.04706853839801826
000806.SZ,*ST银河,-0.4114832535885166
000809.SZ,铁岭新城,-0.24279835390946508
000813.SZ,德展健康,-0.5288985823336968
000815.SZ,美利云,-0.2832116788321168
000819.SZ,岳阳兴长,-0.26892979245087534
000820.SZ,*ST节能,-0.4459016393442623
000821.SZ,京山轻机,-0.013906447534766145
000826.SZ,启迪环境,-0.4638553575774926
000833.SZ,粤桂股份,-0.024182981197906725
000835.SZ,*ST长动,-0.5291375291375291
000836.SZ,富通信息,-0.4621026894865524
000838.SZ,财信发展,-0.0020493500266962417
000839.SZ,中信国安,-0.42977528089887646
000852.SZ,石化机械,-0.22815173403001904
000856.SZ,冀东装备,-0.5306267806267806
000861.SZ,海印股份,-0.1251702450439063
000882.SZ,华联股份,-0.20614035087719287
000889.SZ,中嘉博创,-0.11800446717023456
000890.SZ,*ST胜尔,-0.12544802867383528
000892.SZ,欢瑞世纪,-0.4616977225672878
000897.SZ,津滨发展,-0.08860759493670886
000901.SZ,航天科技,-0.11309692212764696
000912.SZ,泸天化,-0.1434782608695651
000917.SZ,电广传媒,-0.2452272205788419
000918.SZ,嘉凯城,-0.07764390896921017
000926.SZ,福星股份,-0.21756187037232658
000935.SZ,四川双马,-0.08738963617301294
000952.SZ,广济药业,-0.09948233563725573
000965.SZ,天保基建,-0.315621893282389
000968.SZ,蓝焰控股,-0.38799371089092194
000971.SZ,*ST高升,-0.17183098591549295
000972.SZ,*ST中基,-0.3789473684210526
000980.SZ,*ST众泰,-0.05069124423963114
000981.SZ,*ST银亿,-0.4123376623376624
000985.SZ,大庆华科,-0.07647148345747658
000989.SZ,九芝堂,-0.01683284945459649
001965.SZ,招商公路,-0.03402620963850756
001979.SZ,招商蛇口,-0.26987955301214134
002005.SZ,ST德豪,-0.2587719298245614
002016.SZ,世荣兆业,-0.23194807002132015
002021.SZ,ST中捷,-0.37894736842105264
002023.SZ,海特高新,-0.07405007538936718
002024.SZ,苏宁易购,-0.3217027541843981
002029.SZ,七匹狼,-0.08514062636631765
002031.SZ,巨轮智能,-0.09374999999999994
002035.SZ,华帝股份,-0.10026567346800601
002037.SZ,保利联合,-0.2492634865751683
002038.SZ,双鹭药业,-0.28600544784598736
002040.SZ,南京港,-0.017291335638845013
002047.SZ,宝鹰股份,-0.5374214005481808
002051.SZ,中工国际,-0.39194107514792476
002052.SZ,*ST同洲,-0.5857843137254902
002058.SZ,*ST威尔,-0.2839785106859722
002061.SZ,浙江交科,-0.376490675368057
002071.SZ,长城退,-0.9252136752136751
002072.SZ,*ST凯瑞,-0.31259720062208396
002076.SZ,*ST雪莱,-0.315625
002083.SZ,孚日股份,-0.10660965794768609
002085.SZ,万丰奥威,-0.2770658405679847
002086.SZ,*ST东洋,-0.6195899772209568
002089.SZ,ST新海,-0.6363636363636364
002090.SZ,金智科技,-0.18401594054926668
002093.SZ,国脉科技,-0.22439486436541567
002094.SZ,青岛金王,-0.34817813765182193
002095.SZ,生意宝,-0.3014728585263583
002098.SZ,浔兴股份,-0.2769607843137255
002101.SZ,广东鸿图,-0.010504767190298749
002103.SZ,广博股份,-0.03908045977011493
002104.SZ,恒宝股份,-0.09846153846153832
002113.SZ,*ST天润,-0.601063829787234
002114.SZ,罗平锌电,-0.11173974540311181
002115.SZ,三维通信,-0.3459213524333883
002116.SZ,中国海诚,-0.09096585144349131
002117.SZ,东港股份,-0.03743593561667798
002118.SZ,紫鑫药业,-0.3120728929384965
002120.SZ,韵达股份,-0.09591458949820639
002121.SZ,*ST科陆,-0.22532188841201722
002133.SZ,广宇集团,-0.07712666417152345
002137.SZ,实益达,-0.23836389280677
002141.SZ,贤丰控股,-0.3348729792147806
002144.SZ,宏达高科,-0.1386376849040759
002146.SZ,荣盛发展,-0.13997109061969285
002147.SZ,*ST新光,-0.37908496732026153
002148.SZ,北纬科技,-0.3235486027989235
002155.SZ,湖南黄金,-0.019666748973451307
002159.SZ,三特索道,-0.2923512747875353
002161.SZ,远望谷,-0.14054054054054063
002167.SZ,东方锆业,-0.040665434380776175
002168.SZ,惠程科技,-0.5894308943089431
002173.SZ,创新医疗,-0.03405994550408726
002174.SZ,游族网络,-0.28523069903379544
002175.SZ,ST东网,-0.5357142857142857
002178.SZ,延华智能,-0.15775401069518735
002183.SZ,怡亚通,-0.002178326799449328
002186.SZ,全聚德,-0.08074993149778292
002188.SZ,*ST巴士,-0.2404092071611252
002193.SZ,如意集团,-0.32409424205643217
002195.SZ,二三四五,-0.38359203425830046
002199.SZ,东晶电子,-0.26562500000000006
002200.SZ,ST云投,-0.13207547169811326
002205.SZ,国统股份,-0.10230263219537422
002209.SZ,达意隆,-0.05279633015449262
002210.SZ,*ST飞马,-0.1873350923482849
002211.SZ,宏达新材,-0.07597535934291583
002215.SZ,诺普信,-0.16264803553715457
002217.SZ,合力泰,-0.30616741757101
002219.SZ,*ST恒康,-0.008571428571428423
002224.SZ,三力士,-0.08118603421094513
002225.SZ,濮耐股份,-0.005345578711880332
002228.SZ,合兴包装,-0.12601355880827056
002229.SZ,鸿博股份,-0.13877693510382288
002231.SZ,奥维通信,-0.32593619972260746
002235.SZ,安妮股份,-0.1761467889908257
002243.SZ,力合科创,-0.323119818592905
002247.SZ,*ST聚力,-0.5699152542372881
002248.SZ,华东数控,-0.35327963176064436
002253.SZ,川大智胜,-0.021846422910443322
002256.SZ,*ST兆新,-0.41489361702127653
002264.SZ,新华都,-0.2857142857142856
002265.SZ,西仪股份,-0.2841880341880341
002267.SZ,陕天然气,-0.059541833205485534
002268.SZ,卫士通,-0.09358081748281062
002270.SZ,华明装备,-0.016526385260055468
002278.SZ,神开股份,-0.06566138776332449
002279.SZ,久其软件,-0.38828337874659397
002280.SZ,*ST联络,-0.1707920792079208
002281.SZ,光迅科技,-0.10233027152227096
002290.SZ,禾盛新材,-0.048984468339307
002295.SZ,精艺股份,-0.11102730728310772
002302.SZ,西部建设,-0.04587377328113769
002303.SZ,美盈森,-0.1366217076365473
002305.SZ,南国置业,-0.2874494948433236
002306.SZ,中科云网,-0.07598784194528875
002307.SZ,北新路桥,-0.15563506261180676
002309.SZ,中利集团,-0.4821222606689735
002310.SZ,东方园林,-0.47351424316980645
002313.SZ,日海智能,-0.5253516781404233
002316.SZ,亚联发展,-0.4526212158503568
002319.SZ,乐通股份,-0.14932126696832587
002321.SZ,华英农业,-0.4297188755020081
002325.SZ,洪涛股份,-0.2471378978409666
002336.SZ,ST人乐,-0.2884026270817662
002337.SZ,赛象科技,-0.24406766008860248
002341.SZ,新纶科技,-0.6813874900609594
002343.SZ,慈文传媒,-0.32566168009205976
002344.SZ,海宁皮城,-0.1750577767731528
002346.SZ,柘中股份,-0.17492355936291865
002348.SZ,高乐股份,-0.27619047619047626
002349.SZ,精华制药,-0.21003742187945207
002350.SZ,北京科锐,-0.1205427559279083
002354.SZ,*ST天娱,-0.4078212290502793
002355.SZ,兴民智通,-0.1882510013351135
002356.SZ,*ST赫美,-0.7705382436260623
002357.SZ,富临运业,-0.11990295061438516
002358.SZ,森源电气,-0.8028190737451081
002364.SZ,中恒电气,-0.2544218632494307
002365.SZ,永安药业,-0.08950774476469205
002366.SZ,台海核电,-0.637342606354637
002369.SZ,卓翼科技,-0.29784537389100124
002370.SZ,亚太药业,-0.7410748710854025
002374.SZ,中锐股份,-0.2411575562700964
002376.SZ,新北洋,-0.4000803811951452
002377.SZ,国创高新,-0.08220025066146756
002383.SZ,合众思壮,-0.4610878661087865
002393.SZ,力生制药,-0.09300347643301783
002394.SZ,联发股份,-0.055731953780909914
002399.SZ,海普瑞,-0.11026335554596732
002403.SZ,爱仕达,-0.007433166252561747
002411.SZ,延安必康,-0.7546296296296297
002412.SZ,汉森制药,-0.2926527133288218
002417.SZ,深南股份,-0.3137032842582106
002418.SZ,*ST康盛,-0.3954983922829582
002419.SZ,天虹股份,-0.2626968026856722
002421.SZ,达实智能,-0.07601454775280084
002423.SZ,中粮资本,-0.042946823252876874
002424.SZ,贵州百灵,-0.0235528797487522
002426.SZ,*ST胜利,-0.10683760683760689
002427.SZ,ST尤夫,-0.4539329763740156
002431.SZ,棕榈股份,-0.17241379310344832
002433.SZ,太安堂,-0.08645073628760955
002437.SZ,誉衡药业,-0.03308152416995618
002442.SZ,龙星化工,-0.2176267290746747
002446.SZ,盛路通信,-0.29198223657650385
002447.SZ,*ST晨鑫,-0.336734693877551
002449.SZ,国星光电,-0.10594090344003496
002451.SZ,摩恩电气,-0.4983579638752052
002456.SZ,欧菲光,-0.01861782944585502
002464.SZ,*ST众应,-0.5950626001334302
002468.SZ,申通快递,-0.46475982249209635
002470.SZ,*ST金正,-0.7647975077881619
002471.SZ,中超控股,-0.1711890199422057
002473.SZ,ST圣莱,-0.2645259938837921
002474.SZ,榕基软件,-0.11882923043097811
002476.SZ,宝莫股份,-0.1786492374727669
002478.SZ,常宝股份,-0.08614369501466261
002480.SZ,新筑股份,-0.06131078224101473
002482.SZ,广田集团,-0.5231097118994298
002485.SZ,希努尔,-0.37092680353727925
002486.SZ,嘉麟杰,-0.20942408376963348
002490.SZ,山东墨龙,-0.07692307692307705
002491.SZ,通鼎互联,-0.49611622875496275
002494.SZ,华斯股份,-0.3988876529477198
002495.SZ,佳隆股份,-0.30246913580246926
002499.SZ,*ST科林,-0.2628797886393659
002502.SZ,*ST鼎龙,-0.31981981981981994
002503.SZ,搜于特,-0.23111111111111118
002504.SZ,ST弘高,-0.5904522613065327
002506.SZ,协鑫集成,-0.3598409542743538
002512.SZ,达华智能,-0.2567567567567567
002513.SZ,*ST蓝丰,-0.28109854604200335
002514.SZ,宝馨科技,-0.3183520599250936
002520.SZ,日发精机,-0.1936613747246785
002523.SZ,天桥起重,-0.2168804165032424
002528.SZ,英飞拓,-0.07008086253369265
002529.SZ,*ST海源,-0.05405405405405404
002535.SZ,*ST林重,-0.49249249249249244
002537.SZ,海联金汇,-0.3830507468885823
002542.SZ,中化岩土,-0.31661510479525407
002543.SZ,万和电气,-0.12350858791136751
002546.SZ,新联电子,-0.03931066122985099
002547.SZ,春兴精工,-0.3649906890130354
002554.SZ,惠博普,-0.036057889134528745
002558.SZ,巨人网络,-0.2840000515484613
002564.SZ,天沃科技,-0.3326771653543307
002569.SZ,ST步森,-0.1378958120531155
002573.SZ,清新环境,-0.29041603974447433
002574.SZ,明牌珠宝,-0.17980610561056112
002575.SZ,*ST群兴,-0.39813581890812255
002576.SZ,通达动力,-0.03953524641297576
002583.SZ,海能达,-0.33940184908447607
002586.SZ,*ST围海,-0.4317990736352935
002587.SZ,奥拓电子,-0.06408803885372027
