ts_code,name,result_2019,result_2020
000004.SZ,国华网安,-0.027108433734939773,-0.5
000005.SZ,世纪星源,-0.1854545454545454,-0.1942446043165466
000007.SZ,全新好,-0.5075,-0.5212636695018226
000008.SZ,神州高铁,-0.42111653620605016,-0.2670272458030483
000014.SZ,沙河股份,-0.19128765758203228,-0.015367102617808395
000017.SZ,*ST中华A,-0.4334763948497854,-0.2605042016806722
000025.SZ,特力A,-0.2218359599019754,-0.18745293382063388
000031.SZ,大悦城,-0.24307502386047541,-0.28630113954085873
000035.SZ,中国天楹,-0.2446043165467625,-0.10064239828693784
000040.SZ,东旭蓝天,-0.6321762772702455,-0.2314540059347182
000042.SZ,中洲控股,-0.20064891528183523,-0.037937350708956576
000046.SZ,泛海控股,-0.427528056340104,-0.3102645675161315
000058.SZ,深赛格,-0.012026916273106633,-0.022304465159091465
000068.SZ,华控赛格,-0.34803921568627444,-0.13915857605177986
000070.SZ,特发信息,-0.10876282493673799,-0.3027658086935288
000150.SZ,宜华健康,-0.6554884733299353,-0.249496981891348
000151.SZ,中成股份,-0.30635792407607454,-0.08915843245803215
000410.SZ,*ST沈机,-0.4022801302931595,-0.2732673267326732
000413.SZ,东旭光电,-0.5789151074716561,-0.3878205128205129
000415.SZ,渤海租赁,-0.4432432432432432,-0.28719723183391
000502.SZ,绿景控股,-0.2631578947368421,-0.2411924119241192
000503.SZ,国新健康,-0.46738442051931595,-0.38252569750367105
000506.SZ,中润资源,-0.2787456445993032,-0.19767441860465124
000514.SZ,渝开发,-0.09612860892388474,-0.13255667506297242
000523.SZ,广州浪奇,-0.34816082218809413,-0.5848476151963022
000525.SZ,红太阳,-0.6525672838327925,-0.41442542787286063
000537.SZ,广宇发展,-0.22905387295631197,-0.10246365505992477
000540.SZ,中天金融,-0.253411965264305,-0.13580246913580263
000546.SZ,金圆股份,-0.2012084905538051,-0.1981088972168455
000553.SZ,安道麦A,-0.02666811957429778,-0.12651289408821653
000561.SZ,烽火电子,-0.022556390977443823,-0.00611620795107031
000571.SZ,*ST大洲,-0.36390532544378706,-0.1666666666666668
000585.SZ,*ST东电,-0.26086956521739124,-0.037735849056603835
000586.SZ,汇源通信,-0.2882703777335985,-0.4111842105263158
000593.SZ,大通燃气,-0.2945619335347432,-0.02708333333333339
000595.SZ,*ST宝实,-0.24999999999999997,-0.26618705035971213
000605.SZ,渤海股份,-0.3826398868458275,-0.07260192009573269
000606.SZ,顺利办,-0.5286195286195287,-0.323671497584541
000607.SZ,华媒控股,-0.10633488984299089,-0.05955334987593061
000608.SZ,阳光股份,-0.35447761194029853,-0.3162055335968379
000609.SZ,中迪投资,-0.3589743589743591,-0.2857142857142857
000611.SZ,ST天首,-0.5636070853462158,-0.21676300578034688
000617.SZ,中油资本,-0.15415293665036192,-0.07769792732861239
000620.SZ,新华联,-0.3683715012722645,-0.1423487544483985
