ts_code,open,high,low,close,change,pct_chg,amount
000001.SZ,22.95,23.19,22.86,22.94,0.0,0.0,1083043.579
000002.SZ,27.64,27.95,27.5,27.93,0.23,0.8303,1419534.467
000004.SZ,18.05,18.27,17.18,17.52,-0.64,-3.5242,46199.476
000005.SZ,2.29,2.3,2.25,2.27,-0.04,-1.7316,15983.522
000006.SZ,5.33,5.35,5.26,5.27,-0.06,-1.1257,29346.647
000007.SZ,3.87,3.88,3.69,3.71,-0.15,-3.886,50033.586
000008.SZ,2.24,2.28,2.24,2.26,0.01,0.4444,25605.458
000009.SZ,10.4,10.59,10.32,10.52,0.08,0.7663,420707.774
000010.SZ,4.32,4.41,4.2,4.33,-0.07,-1.5909,68834.206
000011.SZ,13.1,13.23,12.6,12.79,-0.3,-2.2918,93494.214
000012.SZ,8.51,8.64,8.45,8.59,0.06,0.7034,402193.62
000014.SZ,8.41,8.44,7.91,7.93,-0.51,-6.0427,63177.258
000016.SZ,6.18,6.29,6.14,6.26,0.06,0.9677,76515.568
000017.SZ,2.79,2.83,2.64,2.65,-0.13,-4.6763,13710.119
000019.SZ,7.12,7.19,7.02,7.11,0.01,0.1408,24645.419
000020.SZ,9.18,9.29,9.1,9.28,0.11,1.1996,12008.748
000021.SZ,18.87,18.92,18.18,18.26,-0.42,-2.2484,302063.611
000023.SZ,15.64,15.79,15.46,15.54,-0.25,-1.5833,3103.34
000025.SZ,14.82,14.88,14.44,14.61,-0.21,-1.417,32342.472
000026.SZ,16.1,16.23,15.8,15.99,-0.07,-0.4359,73049.803
000027.SZ,8.91,8.91,8.51,8.68,-0.23,-2.5814,814638.355
000028.SZ,42.25,42.36,40.3,40.64,-1.6,-3.7879,184411.026
000029.SZ,7.35,7.5,7.29,7.48,0.07,0.9447,29428.536
000030.SZ,7.38,7.38,6.95,7.17,-0.1,-1.3755,39782.709
000031.SZ,3.8,3.81,3.54,3.56,-0.24,-6.3158,96000.367
000032.SZ,20.0,20.37,19.54,19.59,-0.4,-2.001,28004.829
000034.SZ,17.2,17.24,16.88,17.13,-0.12,-0.6957,97545.827
000035.SZ,4.24,4.24,4.14,4.2,-0.04,-0.9434,20814.203
000036.SZ,3.81,3.81,3.71,3.72,-0.07,-1.847,14312.65
000037.SZ,8.26,8.26,8.05,8.12,-0.13,-1.5758,31161.17
000038.SZ,11.54,11.83,11.22,11.51,-0.06,-0.5186,49631.069
000039.SZ,15.65,15.95,15.45,15.86,0.05,0.3163,249709.986
000040.SZ,2.6,2.6,2.53,2.57,-0.04,-1.5326,36931.013
000042.SZ,8.74,8.78,8.58,8.63,0.01,0.116,4969.348
000045.SZ,8.33,8.55,8.24,8.41,0.09,1.0817,57122.45
000046.SZ,2.69,2.71,2.6,2.64,-0.05,-1.8587,34620.198
000048.SZ,27.49,27.49,26.8,27.13,-0.15,-0.5499,27417.685
000049.SZ,71.39,72.71,69.88,72.47,0.93,1.3,275266.264
